CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees,Day,Month,Year
1997-05-06,17.0,13.0,10.0,12.0,4.0,1.0,88.0,58.0,39.0,1013,1011,1007,10.0,10.0,10.0,37,24,52.0,0.0,4.0,Rain,282,6,May,1997
1997-05-07,14.0,11.0,8.0,6.0,3.0,-1.0,76.0,57.0,41.0,1022,1010,1007,10.0,10.0,8.0,37,24,64.0,0.0,5.0,Rain,297,7,May,1997
1997-05-13,20.0,17.0,14.0,14.0,12.0,10.0,100.0,79.0,68.0,1018,1016,1015,10.0,10.0,5.0,21,6,,0.0,5.0,Rain-Thunderstorm,82,13,May,1997
1997-05-14,22.0,16.0,11.0,13.0,11.0,9.0,100.0,77.0,43.0,1017,1015,1014,10.0,10.0,8.0,19,8,,0.0,3.0,Rain-Thunderstorm,17,14,May,1997
1997-05-15,24.0,17.0,10.0,12.0,11.0,7.0,100.0,74.0,38.0,1016,1013,1010,10.0,10.0,7.0,26,3,45.0,0.0,4.0,Rain-Thunderstorm,253,15,May,1997
1997-05-16,19.0,16.0,12.0,13.0,11.0,7.0,100.0,76.0,52.0,1013,1012,1010,10.0,10.0,10.0,23,6,42.0,0.0,5.0,Rain-Thunderstorm,240,16,May,1997
1997-05-17,18.0,14.0,11.0,11.0,8.0,5.0,100.0,69.0,42.0,1016,1014,1013,10.0,10.0,10.0,21,11,,0.0,5.0,Rain,228,17,May,1997
1997-05-19,20.0,16.0,12.0,12.0,9.0,7.0,94.0,66.0,46.0,1014,1012,1010,10.0,10.0,8.0,34,16,55.0,0.0,6.0,Rain,248,19,May,1997
1997-05-23,27.0,18.0,10.0,11.0,9.0,7.0,82.0,52.0,32.0,1013,1011,1008,10.0,10.0,10.0,23,6,,0.0,3.0,Rain,190,23,May,1997
1997-05-25,18.0,16.0,13.0,15.0,13.0,11.0,100.0,85.0,68.0,1015,1013,1011,10.0,9.0,2.0,24,11,45.0,0.0,6.0,Rain,25,25,May,1997
1997-05-26,22.0,17.0,13.0,15.0,13.0,11.0,94.0,78.0,56.0,1017,1016,1015,10.0,10.0,6.0,11,3,,0.0,5.0,Rain,346,26,May,1997
1997-05-30,27.0,21.0,15.0,15.0,13.0,11.0,88.0,59.0,41.0,1019,1016,1012,10.0,10.0,7.0,21,8,,0.0,3.0,Rain-Thunderstorm,111,30,May,1997
1997-05-31,22.0,17.0,13.0,13.0,12.0,8.0,94.0,76.0,43.0,1015,1013,1010,10.0,10.0,8.0,26,10,,0.0,5.0,Rain-Thunderstorm,52,31,May,1997
1997-06-01,22.0,18.0,14.0,15.0,11.0,9.0,88.0,66.0,49.0,1010,1009,1007,10.0,10.0,5.0,35,11,53.0,0.0,4.0,Rain,273,1,June,1997
1997-06-04,19.0,17.0,14.0,14.0,12.0,10.0,94.0,74.0,64.0,1012,1010,1006,10.0,10.0,7.0,29,8,,0.0,6.0,Rain,180,4,June,1997
1997-06-05,20.0,16.0,12.0,15.0,11.0,9.0,94.0,79.0,56.0,1012,1009,1008,10.0,9.0,1.0,26,14,,0.0,5.0,Rain,212,5,June,1997
1997-06-17,24.0,19.0,14.0,13.0,9.0,5.0,67.0,53.0,42.0,1018,1017,1015,10.0,10.0,10.0,13,5,,0.0,5.0,Rain,9,17,June,1997
1997-06-18,26.0,20.0,15.0,15.0,12.0,9.0,83.0,61.0,44.0,1017,1016,1014,10.0,10.0,7.0,21,10,,0.0,3.0,Rain-Thunderstorm,38,18,June,1997
1997-06-28,19.0,16.0,13.0,8.0,7.0,5.0,72.0,57.0,43.0,1009,1005,1002,10.0,10.0,8.0,37,11,61.0,0.0,5.0,Rain,312,28,June,1997
1997-07-01,22.0,17.0,12.0,13.0,9.0,6.0,77.0,60.0,46.0,1015,1013,1012,10.0,10.0,9.0,26,5,,0.0,5.0,Rain,235,1,July,1997
1997-07-02,22.0,18.0,15.0,15.0,11.0,7.0,94.0,69.0,43.0,1016,1012,1010,10.0,9.0,3.0,23,10,,0.0,6.0,Rain,245,2,July,1997
1997-07-08,33.0,24.0,16.0,15.0,12.0,7.0,64.0,42.0,31.0,1019,1016,1012,10.0,10.0,8.0,14,8,,0.0,5.0,Rain-Thunderstorm,58,8,July,1997
1997-07-09,28.0,23.0,18.0,15.0,14.0,12.0,83.0,60.0,42.0,1015,1014,1012,10.0,10.0,7.0,32,10,19.0,0.0,3.0,Rain-Thunderstorm,31,9,July,1997
1997-07-10,28.0,20.0,13.0,14.0,12.0,11.0,94.0,60.0,37.0,1017,1015,1014,10.0,10.0,10.0,23,6,,0.0,4.0,Rain-Thunderstorm,338,10,July,1997
1997-07-15,33.0,24.0,17.0,18.0,15.0,10.0,94.0,52.0,30.0,1020,1017,1013,10.0,10.0,7.0,48,14,64.0,0.0,6.0,Rain-Thunderstorm,161,15,July,1997
1997-07-16,28.0,22.0,16.0,16.0,13.0,10.0,94.0,64.0,32.0,1019,1016,1014,10.0,10.0,4.0,19,5,,0.0,4.0,Rain-Thunderstorm,313,16,July,1997
1997-07-21,35.0,27.0,18.0,17.0,14.0,8.0,68.0,45.0,31.0,1016,1014,1011,10.0,10.0,9.0,16,5,,0.0,2.0,Rain-Thunderstorm,199,21,July,1997
1997-07-22,30.0,24.0,18.0,18.0,15.0,13.0,88.0,64.0,37.0,1016,1014,1012,10.0,9.0,5.0,29,8,48.0,0.0,5.0,Rain-Thunderstorm,9,22,July,1997
1997-07-23,30.0,23.0,16.0,17.0,14.0,12.0,94.0,62.0,35.0,1019,1017,1015,10.0,10.0,7.0,35,10,55.0,0.0,5.0,Rain-Thunderstorm,25,23,July,1997
1997-07-27,34.0,27.0,19.0,19.0,12.0,9.0,65.0,42.0,24.0,1021,1020,1018,10.0,10.0,10.0,26,8,,0.0,4.0,Rain-Thunderstorm,15,27,July,1997
1997-07-28,36.0,27.0,19.0,16.0,12.0,9.0,65.0,40.0,26.0,1020,1019,1016,10.0,10.0,7.0,23,6,,0.0,4.0,Rain-Thunderstorm,91,28,July,1997
1997-07-29,36.0,27.0,18.0,17.0,14.0,12.0,78.0,50.0,27.0,1022,1019,1017,10.0,10.0,10.0,37,11,40.0,0.0,5.0,Thunderstorm,63,29,July,1997
1997-07-30,36.0,29.0,22.0,16.0,13.0,11.0,57.0,42.0,27.0,1020,1019,1017,10.0,10.0,10.0,23,6,,0.0,4.0,Thunderstorm,71,30,July,1997
1997-08-03,38.0,29.0,21.0,15.0,12.0,10.0,49.0,34.0,22.0,1017,1015,1013,10.0,10.0,10.0,21,8,,0.0,1.0,Thunderstorm,304,3,August,1997
1997-08-04,34.0,27.0,20.0,18.0,14.0,11.0,83.0,52.0,26.0,1017,1015,1013,10.0,10.0,7.0,23,8,,0.0,3.0,Rain-Thunderstorm,83,4,August,1997
1997-08-08,28.0,22.0,17.0,18.0,12.0,5.0,88.0,57.0,38.0,1017,1015,1012,10.0,10.0,9.0,37,6,,0.0,6.0,Rain-Thunderstorm,110,8,August,1997
1997-08-10,28.0,23.0,19.0,16.0,13.0,9.0,83.0,54.0,32.0,1017,1016,1013,10.0,10.0,8.0,24,6,,0.0,5.0,Rain-Thunderstorm,245,10,August,1997
1997-08-15,37.0,28.0,19.0,14.0,12.0,9.0,64.0,37.0,24.0,1021,1020,1016,10.0,10.0,9.0,34,10,55.0,0.0,4.0,Thunderstorm,124,15,August,1997
1997-08-23,35.0,29.0,23.0,17.0,15.0,12.0,69.0,47.0,30.0,1020,1018,1016,10.0,10.0,8.0,40,6,50.0,0.0,4.0,Rain,162,23,August,1997
